'ID';'НАЗВАНИЕ';'СТУДИЯ';'ГОД ПРОИЗВОДСТВА';'РЕЖИССЁР';'СЦЕНАРИСТ';'ОПЕРАТОР';'ВОЗРАСТНАЯ КАТЕГОРИЯ';'ЖАНР';'СТРАНА';'КАТЕГОРИЯ';'ЦЕНА';'СЕБЕСТОИМОСТЬ';'СТАТУС'
'2163300';'КАК НАЙТИ МУЖЧИНУ';'ОАО "ТПО "Санкт-Петербургская студия документальных фильмов"';'2013';'А.Рудницкая';'А.Рудницкая';'Н.Волков, С.Максимов';'«16+» для детей старше 16 лет';'Документальный';'Россия';'Видео';'363.0';'302.0';'o'
'2163301';'КИНОХРОНИКА В РЕАЛЬНОМ ВРЕМЕНИ';'ОАО "ТПО "Санкт-Петербургская студия документальных фильмов"';'2013';'Н.Дебижева';'С.Дебижев';'А.Ефимов';'«0+» для любой зрительской аудитории';'Документальный';'Россия';'Видео';'728.0';'520.0';'e'
'2163302';'НА КРАЮ СВЕТА.';'ОАО "ТПО "Санкт-Петербургская студия документальных фильмов"';'2013';'И.Комладзе';'И.Комладзе';'В.Хынку';'«0+» для любой зрительской аудитории';'Документальный';'Россия';'Видео';'372.0';'265.0';'e'
'2163303';'Няжки';'ООО "Кино-Арт"';'2013';'Д.Кузьмин, В.Ковалевский';'К.Матюшкина, М.Тарнавская';'';'«0+» для любой зрительской аудитории';'Анимационный';'Россия';'Видео';'500.0';'385.0';'o'
'2163304';'Гастролеры';'ИП Истангулов Булат Сарсембаевич';'2013';'С.Никонов, Е.Жамцуев';'С.Никонов, Е.Жамцуев';'Л.Сосновский';'«12+» для детей старше 12 лет';'Художественный';'Россия';'Видео';'812.5';'580.0';'o'
'2163305';'Маша и Медведь. Серия "Красота - страшная сила".';'ООО "Маша и Медведь"';'2014';'Р.Козич';'О.Кузовков';'';'«0+» для любой зрительской аудитории';'Анимационный';'Россия';'Видео';'640.0';'457.0';'o'
'2163326';'Опасные пристрастия';'ООО "МЕДфильм"';'2012';'Е.Лосицкая, Т.Янкова';'Е.Лосицкая';'И.Глазков';'«16+» для детей старше 16 лет';'Документальный';'Россия';'Видео';'690.0';'575.0';'o'
'2163327';'Последнее слово';'ООО "МЕДфильм"';'2011';'Е.Амамбаева';'Е.Амамбаева';'И.Глазков';'«16+» для детей старше 16 лет';'Документальный';'Россия';'Видео';'693.0';'495.0';'o'
'2163328';'Перелет длиною в жизнь';'ООО Киностудия "Рифей"';'2012';'С.Белый';'С.Белый';'В.Королев';'«6+» для детей старше шести лет';'Документальный';'Россия';'Видео';'590.0';'492.0';'o'
'2163329';'Родина слышит';'ООО Киностудия "Рифей"';'2012';'Ю.Костовецкий, Н.Иванова';'Ю.Костовецкий';'В.Королев';'«6+» для детей старше шести лет';'Документальный';'Россия';'Видео';'340.0';'262.0';'o'
'2163330';'Смоленск любимый мой';'ООО "Веста продакшн"';'2012';'С.Белый';'С.Белый';'О.Стинский';'«6+» для детей старше шести лет';'Документальный';'Россия';'Видео';'702.0';'540.0';'e'
'2163331';'Отверженные_';'ООО "Веста продакшн"';'2012';'И.Каширина';'И.Каширина';'О.Стинский';'«16+» для детей старше 16 лет';'Документальный';'Россия';'Видео';'588.0';'420.0';'o'
'2163332';'Я и семья';'ООО "Продюсерский центр Натальи Ивановой"';'2012';'О.Куликова';'О.Куликова';'С.Воеводов';'«12+» для детей старше 12 лет';'Документальный';'Россия';'Видео';'826.8';'690.0';'o'
'2163333';'Ростов Великий';'ООО "Продюсерский центр Натальи Ивановой"';'2012';'Н.Иванова';'Н.Иванова';'С.Воеводов';'«6+» для детей старше шести лет';'Документальный';'Россия';'Видео';'611.0';'471.0';'o'
'2163334';'К 1150-летию Российского государства. Мы - русский народ';'ООО "Киностудия САДКО"';'2012';'А.Боева';'А.Боева';'Д.Голубев';'«12+» для детей старше 12 лет';'Документальный';'Россия';'Видео';'520.0';'371.0';'o'
'2163335';'О неквасном патриотизме';'ООО "Киностудия САДКО"';'2012';'О.Куликова';'О.Куликова';'Д.Голубев';'«12+» для детей старше 12 лет';'Документальный';'Россия';'Видео';'504.0';'388.0';'o'
'2163336';'Анимационный фильм "Смешарики 3D плюс 2", серия "Абсолютный слух"';'ООО "Смешарики"';'2013';'А.Аверьянова';'А.Лебедев';'';'«0+» для любой зрительской аудитории';'Анимационный';'Россия';'Видео';'737.0000000000001';'566.5';'o'
'2163337';'Анимационный фильм "Смешарики 3D плюс 2", серия "Список"';'ООО "Смешарики"';'2013';'Н.Мирзоян';'А.Лебедев';'';'«0+» для любой зрительской аудитории';'Анимационный';'Россия';'Видео';'690.0';'575.0';'o'
'2163338';'Кодекс чести 6';'ООО "Студия 2В"';'';'М.Алиев, О.Штром';'О.Южанина, А.Лощилин, П.Ведерников, С.Ефросинин, Я.Скоромный, В.Курдюков, М.Юничев, Е.Куратов, М.Маслова, С.Кушнир';'В.Алисов';'«16+» для детей старше 16 лет';'Художественный';'Россия';'Видео';'650.0';'464.0';'o'
'2163339';'Одноклассницы.';'ООО "Ланд Синема"';'2013';'Г.Жихаревич';'М.Ермоленко (псевдоним Марика Девич)';'Ф.Ордовский';'«12+» для детей старше 12 лет';'Художественный';'Россия';'Видео';'350.0';'269.0';'o'
'2163348';'Турбо (на английском языке)';'Дримуоркс Анимейшн';'2013';'Дэвид Сорен';'Даррен Лемке, Роберт Д.Сигел, Дэвид Сорен';'Крис Стоувер';'«0+» для любой зрительской аудитории';'Анимационный';'США';'Видео';'630.0';'485.0';'o'
'2163349';'Кадры (на английском языке)';'ХХ век Фокс, Ридженси Интерпрайзис, Вилд Вест Пикче Шоу Продакшнз, 21 Лапс Интертейнмент, Дане Интертейнмент';'2013';'Шон Леви';'Винс Вон, Джаред Штерн';'Джонатан Браун';'«12+» для детей старше 12 лет';'Художественный';'США';'Видео';'715.0';'510.0';'o'
'2163350';'Невероятный Бёрт Уандерстоун (на английском языке)';'Уорнер Бразерс';'2013';'Дон Скардино';'Джонатан М.Голдштейн, Джон Фрэнсис Дейли, Чад Калтген';'';'«12+» для детей старше 12 лет';'Художественный';'США';'Видео';'360.0';'300.0';'o'
'2163351';'Мальчишник: Часть III (на английском языке)';'Уорнер Бразерс, Грин Хэт Филмз';'2013';'Тодд Филлипс';'Крейг Мейзин, Тодд Филлипс';'Лоуренс Шер';'«16+» для детей старше 16 лет';'Художественный';'США';'Видео';'612.0';'510.0';'o'
